Workreport_ID,Employee_SSN,Contractor_ID,Contractor_review,Contractor_remuneration,Total_cost,Description,Approved,Manager_comment
wrep327,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep328,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep329,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep330,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep331,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep332,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep333,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep334,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep335,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep336,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep337,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep338,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep339,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep340,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep341,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep342,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep343,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep344,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep345,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep346,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep347,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep348,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep349,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep350,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep351,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep352,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep353,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep354,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep355,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep356,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep357,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep358,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep359,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep360,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep361,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep362,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep363,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep364,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep365,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep366,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep367,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep368,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep369,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep370,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep371,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep372,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep373,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep374,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep375,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep376,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep377,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep378,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep379,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep380,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep381,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep382,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep383,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep384,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep385,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep386,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep387,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep388,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep389,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep390,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep391,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep392,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep393,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep394,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep395,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep396,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep397,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep398,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep399,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep400,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep401,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep402,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep403,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep404,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep405,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep406,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep407,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep408,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep409,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep410,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep411,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep412,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep413,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep414,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep415,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep416,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep417,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep418,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep419,123456-0006,N/A,N/A,N/A,10.000.-,Gekk þokkalega,False,None
wrep420,123456-0006,N/A,N/A,N/A,10.000.-,Gekk rosa vel,False,None
wrep421,123456-0005,N/A,N/A,N/A,10.000.-,Gekk vel!,False,None
wrep422,123456-0008,N/A,N/A,N/A,15.000.-,Gekk vel,False,None
wrep423,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep424,123456-0009,N/A,N/A,N/A,15.000.-,Gekk vel,False,None
wrep425,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep426,123456-0008,N/A,N/A,N/A,15.000.-,Gekk rosa vel,False,None
wrep427,123456-0009,N/A,N/A,N/A,15.000.-,Gekk æðislega,False,None
wrep428,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep429,123456-0008,N/A,N/A,N/A,15.000.-,Gekk rosa vel!,False,None
wrep430,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep431,123456-0008,N/A,N/A,N/A,15.000.-,Gekk vel að mínu mati,False,None
wrep432,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep433,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep434,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep435,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep436,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep437,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep438,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep439,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep440,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep441,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep442,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep443,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep444,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep445,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep446,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep447,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep448,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep449,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep450,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep451,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep452,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep453,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep454,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep455,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep456,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep457,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep458,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep459,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep460,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep461,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep462,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep463,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep464,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep465,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep466,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep467,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep468,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep469,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep470,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep471,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep472,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep473,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep474,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep475,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep476,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep477,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep478,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep479,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep480,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep481,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep482,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep483,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep484,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep485,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep486,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep487,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep488,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep489,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep490,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep491,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep492,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep493,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep494,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep495,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep496,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep497,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep498,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep499,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep500,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep501,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep502,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep503,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep504,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep505,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep506,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep507,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep508,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep509,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep510,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep511,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep512,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep513,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep514,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep515,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep516,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep517,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep518,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep519,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep520,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep521,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep522,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep523,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep524,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep525,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep526,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep527,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep528,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep529,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep530,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep531,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep532,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep533,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep534,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep535,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep536,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep537,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep538,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep539,123456-0008,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep540,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep541,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep542,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep543,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep544,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep545,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep546,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep547,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep548,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep549,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep550,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep551,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep552,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep553,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep554,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep555,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep556,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep557,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep558,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep559,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep560,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep561,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep562,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep563,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep564,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep565,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep566,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep567,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep568,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep569,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep570,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep571,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep572,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep573,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep574,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep575,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep576,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep577,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep578,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep579,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep580,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep581,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep582,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep583,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep584,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep585,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep586,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep587,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep588,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep589,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep590,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep591,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep592,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep593,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep594,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep595,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep596,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep597,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep598,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep599,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep600,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep601,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep602,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep603,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep604,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep605,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep606,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep607,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep608,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep609,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep610,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep611,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep612,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep613,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep614,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep615,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep616,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep617,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep618,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep619,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep620,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep621,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep622,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep623,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep624,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep625,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep626,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep627,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep628,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep629,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep630,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep631,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep632,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep633,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep634,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep635,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep636,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep637,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep638,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep639,123456-0008,N/A,N/A,N/A,15.000.-,Gekk mjög vel,False,None
wrep640,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk vel!,False,None
wrep641,123456-0009,N/A,N/A,N/A,15.000.-,Allt gekk eins og í sögu,False,None
wrep642,123456-0002,C1,8/10,40.000.-,60.000.-,gekk vel,False,None
